url,positions,positions_top10,positions_top3,traffic,traffic_top10,traffic_top3,cost,cost_top10,cost_top3,rank
dailycommercial.com,49278,2180,627,44990,1959,516,13509.54024,11266.71452,7696.524558,36
dailycurrant.com,51,6,2,42,2,2,0.293761607,0.151089774,0,43
dailydot.com,1043992,51561,9262,701733,39645,7031,555863.7564,431999.3703,161749.3689,42
dailyexpose.co.uk,2,2,2,1,1,1,14.883,14.883,14.883,42
dailygazette.com,150165,6766,1725,117628,5209,1307,74280.95093,66067.92159,49135.03254,53
dailygrail.com,1472,14,1,1189,13,1,45.76863509,15.85788625,0,43
dailyheadlines.net,74,9,1,72,9,1,40.5925201,32.92871808,6.6,28
dailyhealthpost.com,2229,13,5,1862,9,1,43.95591169,27.97058001,0,43
dailyherald.com,295318,15730,3636,230080,12870,2801,149730.367,128039.3599,87497.23468,43
dailyhive.com,1077946,70577,13030,698436,59987,11766,533007.0289,440547.554,202953.0872,54
daily-journal.com,45298,2391,744,36915,1779,490,14987.14827,12681.34717,7269.802268,35
dailyjournal.net,60114,2043,590,50415,1561,376,13309.36586,10490.58051,5856.409255,45
dailyjournalonline.com,9067,601,328,7256,289,127,5088.239024,4764.717751,3942.803091,57
dailykos.com,136602,6123,2172,106278,3557,892,128909.3995,123728.7879,112223.1226,78
dailymail.co.uk,18451440,1729349,502143,9007225,1018711,324343,29703382.14,26648324.17,18317871.76,76
dailymaverick.co.za,191149,9332,2094,128574,7354,1615,197986.2455,175302.9761,124005.5354,40
dailynews.com,597495,24617,5198,469908,21200,4320,240025.044,197288.8608,111480.7078,49
dailynewsbin.com,60,0,0,53,0,0,0.043407277,0,0,22
dailynorthwestern.com,76704,3587,653,54150,2998,563,24069.13176,18238.72792,7370.159887,52
dailyo.in,204618,7447,1860,139506,5204,1236,99354.2884,79483.68936,45824.42814,35
dailypoliticalnewswire.com,0,0,0,0,0,0,0,0,0,25
dailypost.ng,361026,37642,15316,164573,19602,6156,758216.4368,682399.696,443010.3534,78
dailypress.com,129451,4720,1168,106065,3760,776,41942.76914,36322.39443,26201.94384,40
dailyprogress.com,189410,6110,1506,149955,4975,1230,60003.26208,47815.56724,29330.28983,56
dailyreckoning.com,1579,294,187,977,77,21,2292.65902,2142.253573,1663.785775,79
dailyrecord.co.uk,1467614,54968,12289,895878,41747,9042,1144236.963,987631.911,664700.4687,40
dailyrecord.com,64495,4078,1057,51075,3243,853,25089.41826,20989.25636,10745.33592,42
dailysceptic.org,5177,228,171,3861,74,29,1889.629211,1638.034631,1417.201621,56
dailysignal.com,52164,1958,497,43073,1746,431,39598.76762,36026.93968,30932.09975,41
dailysoundandfury.com,5,1,1,4,1,1,3.095540709,2.933333333,2.933333333,32
dailystar.co.uk,2108985,112333,27997,1039551,69557,18106,2097379.558,1813263.029,1135330.163,43
dailystormer.com,0,0,0,0,0,0,0,0,0,35
dailystormer.name,0,0,0,0,0,0,0,0,0,45
daily-sun.com,101781,2881,598,66927,2232,454,28819.62527,20093.62712,8451.639042,38
dailysurge.com,1,0,0,1,0,0,0,0,0,40
dailytarheel.com,65692,3288,516,48123,2953,451,41246.33165,34784.5676,14424.49224,37
dailytelegraph.com.au,1331676,72386,22263,861511,49528,15213,706191.9889,625321.2644,468113.0265,42
dailytorch.com,254,17,9,226,12,4,39.72900214,36.11718935,16.82074167,35
dailywire.com,142491,7815,3506,100594,3613,1598,280973.2672,265491.4796,234510.6309,52
dallasnews.com,2196826,145587,32556,1494027,116314,27349,1650728.415,1379102.379,702024.9773,46
dallasvoice.com,20024,699,202,15718,583,163,3475.528396,2693.165468,1120.138575,50
daltondailycitizen.com,362,42,5,233,26,4,161.709854,135.5228476,22.6215,28
darientimes.com,17122,509,145,14651,417,101,3348.791632,2598.514257,1566.683231,33
darkjournalist.com,37,1,0,28,1,0,4.803480567,2.162688,0,37
davidharrisjr.com,13,5,1,9,4,1,23.67461989,23.24297321,0.99,38
davidicke.com,1576,233,177,967,45,21,8197.926625,8158.638315,6369.614533,83
davidwolfe.com,15826,405,202,11642,161,43,1389.096506,1154.166947,782.5325292,34
dawn.com,804458,38357,13793,436972,23454,7120,1162354.081,1051935.731,781255.5784,43
dayton247now.com,103738,6151,1565,83267,4890,1207,45008.93682,35962.53077,18296.24219,53
daytondailynews.com,442757,24319,6099,345202,19812,5222,188908.297,161580.2274,93408.87768,40
dcclothesline.com,88,8,2,67,4,1,0.002092843,0,0,42
dcdirtylaundry.com,126,1,1,124,1,1,109.9740693,107.16,107.16,48
dcist.com,159803,7752,1698,124713,6987,1556,56114.39907,44630.00587,21255.90204,49
dcreport.org,2580,219,126,2156,118,42,999.5669429,814.8876423,386.5591514,40
de.rt.com,357,165,160,177,36,35,21504.24135,21496.18051,21487.25261,56
deadline.com,3961429,264900,55382,2121752,189249,42337,4790443.297,3990305.674,2126348.244,85
deadspin.com,274795,13591,3437,208895,11831,3051,284707.1767,261819.7889,200205.7424,83
deadstate.org,2258,67,6,1972,63,5,266.8239352,148.3297846,42.724,39
debka.com,483,203,165,193,39,27,825.067055,806.7748232,690.648839,48
